episode,season,episode_number,title,airdate,rating,total_votes,desc
1,1,1,Pilot,9/23/09,8.2,2808,"Jay must adapt to his young new wife, Gloria and her son. Meanwhile, Claire deals with her own family. Mitchell and Cam decide to adopt a baby."
2,1,2,The Bicycle Thief,9/30/09,8.2,2293,"After buying a new bike for his son, Phil ends up lying when it gets stolen. Jay tries bonding with Manny. Cam and Mitchell begin daycare classes for Lily."
3,1,3,Come Fly with Me,10/7/09,8,2015,"Jay takes Phil on a model-airplane excursion with disastrous results. While Manny is at their house, Claire must get used to the fact they are actually siblings."
4,1,4,The Incident,10/14/09,8.2,2071,Jay's ex-wife shows up for the first time following a nasty incident at Gloria and Jay's wedding.
5,1,5,Coal Digger,10/21/09,8.3,1990,A conflict between Manny and Luke spreads to their respective parents during a football game.
6,1,6,Run for Your Wife,10/28/09,7.8,1897,"Claire and Phil have mixed feelings regarding the first day of school for the kids. Jay and Gloria argue about an outfit for Manny, and a minor problem with Lily gets blown out of proportion by Mitchell and Cameron."
7,1,7,En Garde,11/4/09,8,1850,"The whole family comes out to support Manny's newfound interest - fencing. It turns out he's quite masterful in the sport, but Jay's proud enthusiasm triggers an old childhood wound for Mitchell. Meanwhile Phil is determined to find where Luke's hidden talents lie."
8,1,8,Great Expectations,11/18/09,8,1940,"Jay has a sleepover for his grandkids, but Haley is looking for a way out. Claire tries to get a perfect anniversary gift for Phil, and Mitchell and Cameron discover that their ladyfriend is crazy and jealous of their daughter."
9,1,9,Fizbo,11/25/09,8.7,2155,"Cameron breaks out his favorite clown costume to make Luke's birthday party a hit. However, a series of accidents causes the party to break into chaos and leads to an unfortunate injury."
10,1,10,Undeck the Halls,12/9/09,8.1,1765,Phil and Claire cancel Christmas for their kids until they confess to wrongdoings at the house. Jay is hesitant to celebrate Gloria and Manny's holiday traditions. Mitchell and Cameron take Lily to meet Santa.
11,1,11,Up All Night,1/6/10,8,1743,"Manny's dad shows up bearing extravagant gifts, Mitchell and Cameron fight over how to care for their daughter when she cries at night, and Claire tries to impress the firefighters who responded to Phil's kidney stone 911 call."
12,1,12,Not in My House,1/13/10,7.9,1699,"Gloria plots to get rid of Jay's new ""dog butler,"" Cameron's helpful nature gets himself in trouble with Mitchell, and Claire asks Phil to punish their son for looking at nude pictures, not knowing they're Phil's."
13,1,13,Fifteen Percent,1/20/10,8.1,1750,"Mitchell tells Jay that one of his friends is gay to teach him a lesson, Claire gets frustrated with Phil's new master remote control, and Gloria gives Manny's ""date"" a makeover to improve her self-esteem."
14,1,14,Moon Landing,2/3/10,8.1,1739,"Claire feels like a loser when she catches up with an old friend from work, Jay and Cameron have an unpleasant ""encounter"" in a locker room, and Mitchell tries to give legal advice to Gloria after she has a wreck."
